Ward_name,Old_code,New_code,Population_2015,%_Al_Children0_15,%_All_Older_people_aged_65+,Population_density,%_children_obese,%_children_in_year_6_obese
Harrow - Belmont,00AQFY,E05000285,11650,20.4,14.8,6444.4,7.1,15.9
Harrow - Canons,00AQFZ,E05000286,13500,19.3,18.8,2339.3,13.1,20
Harrow - Edgware,00AQGA,E05000287,12050,21.1,12.4,8571.4,11.3,20.6
Harrow - Greenhill,00AQGB,E05000288,13100,19.1,10.4,7617.6,10.9,20.5
Harrow - Harrow on the Hill,00AQGC,E05000289,12850,21.9,12.5,3527.8,9.8,23
Harrow - Harrow Weald,00AQGD,E05000290,11650,19,17.8,2532.6,12.7,20.5
Harrow - Hatch End,00AQGE,E05000291,10950,18.6,20.3,3303,6.8,22.3
Harrow - Headstone North,00AQGF,E05000292,10400,17.2,18,3136.4,4.8,17
Harrow - Headstone South,00AQGG,E05000293,11600,20.4,12.9,7666.7,8.1,20.1
Harrow - Kenton East,00AQGH,E05000294,11500,18.5,13.5,8846.2,11.6,22.3
Harrow - Kenton West,00AQGJ,E05000295,11550,17.3,15.6,6388.9,10.4,21.8
Harrow - Marlborough,00AQGK,E05000296,13000,22.4,10.7,8000,10.9,24.2
Harrow - Pinner,00AQGL,E05000297,10300,18,21.1,3106.1,10.4,12.8
Harrow - Pinner South,00AQGM,E05000298,10650,20.8,18.7,4416.7,6.4,15.2
Harrow - Queensbury,00AQGN,E05000299,12350,21.3,12.2,7687.5,10.5,23.8
Harrow - Rayners Lane,00AQGP,E05000300,11450,20.6,15.1,7600,6,17.9
Harrow - Roxbourne,00AQGQ,E05000301,13150,24.5,10.3,8733.3,9.5,22.7
Harrow - Roxeth,00AQGR,E05000302,12000,22.2,11.6,7468.8,9.7,22.3
Harrow - Stanmore Park,00AQGS,E05000303,11450,17.5,23,2544.4,9.3,15.9
Harrow - Wealdstone,00AQGT,E05000304,11700,23.8,10.9,9708.3,11.8,23.3
Harrow - West Harrow,00AQGU,E05000305,10700,19.9,13.9,7066.7,7.3,20.6
Havering - Brooklands,00ARGC,E05000306,17100,22.4,13,3785.7,8,21.9
Havering - Cranham,00ARGD,E05000307,12650,16.8,24.3,1901.5,9,19
Havering - Elm Park,00ARGE,E05000308,12700,18.5,20,3391.9,11,23.4
Havering - Emerson Park,00ARGF,E05000309,12100,15.3,23.4,2608.7,10.5,19.6
Havering - Gooshays,00ARGG,E05000310,15400,23.5,12.3,1916.7,14.3,21.9
Havering - Hacton,00ARGH,E05000311,12600,15.9,21,4960,12.1,16.7
